QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,COUNTRY,DEALSIZE
38,100.0,11,7329.06,2003-05-28,5,2003,Classic Cars,214,1,Spain,Large
37,100.0,11,7374.1,2003-07-24,7,2003,Classic Cars,214,1,USA,Large
45,100.0,8,10993.5,2003-09-19,9,2003,Classic Cars,214,1,Singapore,Large
21,100.0,1,4860.24,2003-10-20,10,2003,Classic Cars,214,1,USA,Medium
34,100.0,4,8014.82,2003-11-06,11,2003,Classic Cars,214,1,Australia,Large
23,100.0,8,5372.57,2003-11-13,11,2003,Classic Cars,214,1,USA,Medium
42,100.0,11,7290.36,2003-11-25,11,2003,Classic Cars,214,1,France,Large
47,100.0,6,9064.89,2003-12-05,12,2003,Classic Cars,214,1,Canada,Large
35,100.0,3,6075.3,2004-01-29,1,2004,Classic Cars,214,1,USA,Medium
29,100.0,2,6463.23,2004-03-10,3,2004,Classic Cars,214,1,USA,Medium
34,100.0,9,6120.34,2004-05-04,5,2004,Classic Cars,214,1,USA,Medium
32,100.0,6,7680.64,2004-06-15,6,2004,Classic Cars,214,1,Japan,Large
21,100.0,9,4905.39,2004-07-19,7,2004,Classic Cars,214,1,Australia,Medium
34,100.0,2,8014.82,2004-08-17,8,2004,Classic Cars,214,1,Italy,Large
37,100.0,11,7136.19,2004-09-08,9,2004,Classic Cars,214,1,Sweden,Large
47,100.0,6,10172.7,2004-10-11,10,2004,Classic Cars,214,1,France,Large
48,100.0,3,11623.7,2004-10-21,10,2004,Classic Cars,214,1,USA,Large
40,100.0,1,6000.4,2004-11-04,11,2004,Classic Cars,214,1,USA,Medium
26,100.0,3,3003.0,2004-11-18,11,2004,Classic Cars,214,1,USA,Medium
30,100.0,1,3944.7,2004-11-29,11,2004,Classic Cars,214,1,Australia,Medium
32,100.0,10,5691.84,2004-12-10,12,2004,Classic Cars,214,1,USA,Medium
41,100.0,2,4514.92,2005-01-20,1,2005,Classic Cars,214,1,USA,Medium
36,100.0,3,8254.8,2005-02-17,2,2005,Classic Cars,214,1,USA,Large
24,100.0,4,2416.56,2005-03-09,3,2005,Classic Cars,214,1,Australia,Small
23,100.0,9,4140.23,2005-05-01,5,2005,Classic Cars,214,1,Canada,Medium
50,100.0,6,12001.0,2005-05-31,5,2005,Classic Cars,214,1,Spain,Large
39,99.91,5,3896.49,2003-02-24,2,2003,Motorcycles,118,2,USA,Medium
29,96.34,3,2793.86,2003-04-29,4,2003,Motorcycles,118,2,Australia,Small
27,100.0,5,3307.77,2003-07-01,7,2003,Motorcycles,118,2,France,Medium
37,100.0,9,5192.95,2003-08-25,8,2003,Motorcycles,118,2,USA,Medium
37,100.0,17,5016.83,2003-10-10,10,2003,Motorcycles,118,2,USA,Medium
27,100.0,4,3660.93,2003-10-28,10,2003,Motorcycles,118,2,USA,Medium
42,100.0,12,4695.6,2003-11-11,11,2003,Motorcycles,118,2,France,Medium
38,96.34,4,3660.92,2003-11-18,11,2003,Motorcycles,118,2,Norway,Medium
24,100.0,5,3025.92,2003-12-01,12,2003,Motorcycles,118,2,USA,Medium
23,100.0,2,3009.09,2004-01-12,1,2004,Motorcycles,118,2,Japan,Medium
47,100.0,4,5422.39,2004-02-20,2,2004,Motorcycles,118,2,Australia,Medium
22,100.0,1,2852.08,2004-04-03,4,2004,Motorcycles,118,2,USA,Small
44,100.0,5,5756.52,2004-05-18,5,2004,Motorcycles,118,2,USA,Medium
40,100.0,5,4472.0,2004-06-28,6,2004,Motorcycles,118,2,USA,Medium
22,100.0,4,2904.44,2004-07-23,7,2004,Motorcycles,118,2,France,Small
47,100.0,9,6484.59,2004-08-27,8,2004,Motorcycles,118,2,USA,Medium
39,96.34,1,3757.26,2004-09-27,9,2004,Motorcycles,118,2,France,Medium
34,100.0,2,4043.96,2004-10-15,10,2004,Motorcycles,118,2,USA,Medium
45,100.0,4,5566.5,2004-11-02,11,2004,Motorcycles,118,2,USA,Medium
20,100.0,2,3176.0,2004-11-15,11,2004,Motorcycles,118,2,USA,Medium
40,68.92,4,2756.8,2004-11-23,11,2004,Motorcycles,118,2,Japan,Small
26,51.15,8,1329.9,2004-12-17,12,2004,Motorcycles,118,2,Australia,Small
39,100.0,5,5288.01,2005-02-02,2,2005,Motorcycles,118,2,Australia,Medium
50,44.51,5,2225.5,2005-03-03,3,2005,Motorcycles,118,2,USA,Small
45,100.0,1,5833.8,2005-04-07,4,2005,Motorcycles,118,2,France,Medium
45,100.0,5,5887.35,2005-05-13,5,2005,Motorcycles,118,2,Spain,Medium
27,100.0,4,6065.55,2003-02-24,2,2003,Motorcycles,193,3,USA,Medium
46,100.0,2,9264.86,2003-04-29,4,2003,Motorcycles,193,3,Australia,Large
31,100.0,4,7023.98,2003-07-01,7,2003,Motorcycles,193,3,France,Large
33,100.0,8,5176.38,2003-08-25,8,2003,Motorcycles,193,3,USA,Medium
22,100.0,16,4132.7,2003-10-10,10,2003,Motorcycles,193,3,USA,Medium
20,100.0,3,4183.0,2003-10-28,10,2003,Motorcycles,193,3,USA,Medium
41,100.0,11,8892.9,2003-11-11,11,2003,Motorcycles,193,3,France,Large
45,100.0,3,8714.7,2003-11-18,11,2003,Motorcycles,193,3,Norway,Large
49,100.0,4,8065.89,2003-12-01,12,2003,Motorcycles,193,3,USA,Large
34,100.0,1,6123.4,2004-01-12,1,2004,Motorcycles,193,3,Japan,Medium
49,100.0,3,9774.03,2004-02-20,2,2004,Motorcycles,193,3,Australia,Large
39,100.0,9,7023.9,2004-04-05,4,2004,Motorcycles,193,3,USA,Large
43,100.0,4,7078.23,2004-05-18,5,2004,Motorcycles,193,3,USA,Large
41,100.0,4,8336.94,2004-06-28,6,2004,Motorcycles,193,3,USA,Large
36,100.0,3,6901.92,2004-07-23,7,2004,Motorcycles,193,3,France,Medium
27,100.0,8,5438.07,2004-08-27,8,2004,Motorcycles,193,3,USA,Medium
29,100.0,11,6683.34,2004-09-30,9,2004,Motorcycles,193,3,Finland,Medium
20,100.0,1,4570.4,2004-10-15,10,2004,Motorcycles,193,3,USA,Medium
37,100.0,3,7667.14,2004-11-02,11,2004,Motorcycles,193,3,USA,Large
26,100.0,3,5868.2,2004-11-15,11,2004,Motorcycles,193,3,USA,Medium
39,76.67,3,2990.13,2004-11-23,11,2004,Motorcycles,193,3,Japan,Small
22,100.0,4,3664.1,2005-01-05,1,2005,Motorcycles,193,3,USA,Medium
22,100.0,1,3834.38,2005-02-02,2,2005,Motorcycles,193,3,Australia,Medium
21,86.77,7,1822.17,2005-03-03,3,2005,Motorcycles,193,3,USA,Small
66,100.0,9,11886.6,2005-04-08,4,2005,Motorcycles,193,3,UK,Large
56,100.0,4,9218.16,2005-05-13,5,2005,Motorcycles,193,3,Spain,Large
50,100.0,2,7208.0,2003-02-11,2,2003,Classic Cars,136,4,Denmark,Large
46,100.0,11,5004.8,2003-04-28,4,2003,Classic Cars,136,4,Austria,Medium
33,100.0,2,4398.24,2003-06-12,6,2003,Classic Cars,136,4,UK,Medium
49,100.0,15,5597.76,2003-08-10,8,2003,Classic Cars,136,4,USA,Medium
32,100.0,13,4526.08,2003-10-06,10,2003,Classic Cars,136,4,Finland,Medium
44,100.0,9,5924.16,2003-10-23,10,2003,Classic Cars,136,4,Sweden,Medium
24,100.0,12,3492.48,2003-11-08,11,2003,Classic Cars,136,4,France,Medium
26,100.0,9,3854.24,2003-11-14,11,2003,Classic Cars,136,4,UK,Medium
45,100.0,6,5324.4,2003-11-26,11,2003,Classic Cars,136,4,Spain,Medium
39,100.0,8,5197.92,2004-01-09,1,2004,Classic Cars,136,4,USA,Medium
49,100.0,12,5997.6,2004-02-19,2,2004,Classic Cars,136,4,USA,Medium
20,100.0,3,2910.4,2004-05-07,5,2004,Classic Cars,136,4,USA,Small
27,100.0,1,3378.24,2004-06-17,6,2004,Classic Cars,136,4,Canada,Medium
30,100.0,4,3508.8,2004-07-21,7,2004,Classic Cars,136,4,Belgium,Medium
25,100.0,6,2992.0,2004-08-20,8,2004,Classic Cars,136,4,Canada,Small
24,100.0,1,3427.2,2004-09-10,9,2004,Classic Cars,136,4,USA,Medium
22,100.0,9,2692.8,2004-10-14,10,2004,Classic Cars,136,4,USA,Small
33,100.0,17,4128.96,2004-11-01,11,2004,Classic Cars,136,4,UK,Medium
47,64.93,6,3051.71,2004-11-05,11,2004,Classic Cars,136,4,Norway,Medium
25,48.05,8,1201.25,2004-11-21,11,2004,Classic Cars,136,4,USA,Small
26,75.47,5,1962.22,2004-12-02,12,2004,Classic Cars,136,4,Spain,Small
48,54.68,6,2624.64,2004-12-15,12,2004,Classic Cars,136,4,France,Small
39,100.0,3,4046.25,2005-01-31,1,2005,Classic Cars,136,4,Finland,Medium
34,100.0,4,4846.7,2005-02-23,2,2005,Classic Cars,136,4,USA,Medium
32,100.0,2,3370.56,2005-03-17,3,2005,Classic Cars,136,4,France,Medium
64,100.0,9,9661.44,2005-04-01,4,2005,Classic Cars,136,4,USA,Large
19,100.0,3,2764.88,2005-05-06,5,2005,Classic Cars,136,4,USA,Small
42,100.0,4,5398.26,2003-01-29,1,2003,Classic Cars,147,5,Norway,Medium
31,100.0,8,4305.28,2003-04-01,4,2003,Classic Cars,147,5,France,Medium
22,100.0,4,3347.74,2003-05-28,5,2003,Classic Cars,147,5,Spain,Medium
26,100.0,4,3188.12,2003-07-24,7,2003,Classic Cars,147,5,USA,Medium
20,100.0,1,3191.2,2003-09-19,9,2003,Classic Cars,147,5,Singapore,Medium
21,100.0,2,3536.82,2003-10-21,10,2003,Classic Cars,147,5,Austria,Medium
33,100.0,9,5362.83,2003-11-06,11,2003,Classic Cars,147,5,UK,Medium
28,100.0,1,3433.36,2003-11-13,11,2003,Classic Cars,147,5,USA,Medium
26,100.0,4,4263.74,2003-11-25,11,2003,Classic Cars,147,5,France,Medium
31,100.0,15,4076.19,2003-12-09,12,2003,Classic Cars,147,5,USA,Medium
48,100.0,4,7020.48,2004-02-04,2,2004,Classic Cars,147,5,Singapore,Large
50,100.0,9,6426.5,2004-03-11,3,2004,Classic Cars,147,5,USA,Medium
28,100.0,2,4591.72,2004-05-04,5,2004,Classic Cars,147,5,USA,Medium
26,100.0,12,4033.38,2004-06-15,6,2004,Classic Cars,147,5,Singapore,Medium
32,100.0,2,4302.08,2004-07-19,7,2004,Classic Cars,147,5,Australia,Medium
44,100.0,9,7020.64,2004-08-19,8,2004,Classic Cars,147,5,USA,Large
30,100.0,4,3855.9,2004-09-08,9,2004,Classic Cars,147,5,Sweden,Medium
38,100.0,13,6680.78,2004-10-13,10,2004,Classic Cars,147,5,USA,Medium
40,100.0,7,6678.0,2004-10-22,10,2004,Classic Cars,147,5,Canada,Medium
46,61.99,8,2851.54,2004-11-04,11,2004,Classic Cars,147,5,USA,Small
26,100.0,2,3188.12,2004-11-19,11,2004,Classic Cars,147,5,Sweden,Medium
27,100.0,2,4428.0,2004-11-29,11,2004,Classic Cars,147,5,Australia,Medium
43,100.0,9,5780.92,2004-12-10,12,2004,Classic Cars,147,5,USA,Medium
35,65.63,4,2297.05,2005-01-20,1,2005,Classic Cars,147,5,Australia,Small
37,100.0,6,6231.54,2005-02-17,2,2005,Classic Cars,147,5,USA,Medium
37,46.9,7,1735.3,2005-03-09,3,2005,Classic Cars,147,5,Australia,Small
27,100.0,2,4427.73,2005-05-01,5,2005,Classic Cars,147,5,Canada,Medium
38,100.0,12,5894.94,2005-05-31,5,2005,Classic Cars,147,5,France,Medium
33,100.0,6,5265.15,2003-03-03,3,2003,Classic Cars,194,6,Philippines,Medium
42,100.0,10,7599.9,2003-05-08,5,2003,Classic Cars,194,6,France,Large
42,100.0,7,8008.56,2003-07-02,7,2003,Classic Cars,194,6,USA,Large
48,100.0,7,9245.76,2003-09-05,9,2003,Classic Cars,194,6,USA,Large
41,100.0,2,8296.35,2003-10-10,10,2003,Classic Cars,194,6,USA,Large
30,100.0,2,5019.9,2003-11-04,11,2003,Classic Cars,194,6,Australia,Medium
27,100.0,14,5411.07,2003-11-12,11,2003,Classic Cars,194,6,Norway,Medium
21,100.0,3,3840.9,2003-11-20,11,2003,Classic Cars,194,6,Germany,Medium
20,100.0,8,3930.4,2003-12-02,12,2003,Classic Cars,194,6,Spain,Medium
41,100.0,2,7498.9,2004-01-15,1,2004,Classic Cars,194,6,France,Large
27,100.0,9,4517.91,2004-02-22,2,2004,Classic Cars,194,6,Switzerland,Medium
28,100.0,3,5774.72,2004-04-09,4,2004,Classic Cars,194,6,Denmark,Medium
24,100.0,13,3922.56,2004-06-01,6,2004,Classic Cars,194,6,UK,Medium
44,100.0,14,9160.36,2004-07-06,7,2004,Classic Cars,194,6,Italy,Large
50,100.0,3,9631.0,2004-08-02,8,2004,Classic Cars,194,6,USA,Large
21,100.0,12,3432.24,2004-08-30,8,2004,Classic Cars,194,6,Switzerland,Medium
33,100.0,5,5521.89,2003-10-04,10,2003,Classic Cars,194,6,Germany,Medium
33,100.0,10,6934.62,2004-10-16,10,2004,Classic Cars,194,6,Germany,Medium
31,100.0,3,6876.11,2004-11-03,11,2004,Classic Cars,194,6,Sweden,Medium
41,71.47,5,2930.27,2004-11-15,11,2004,Classic Cars,194,6,USA,Small
45,79.65,2,3584.25,2004-11-24,11,2004,Classic Cars,194,6,Austria,Medium
33,85.39,3,2817.87,2005-01-06,1,2005,Classic Cars,194,6,Finland,Small
45,76.0,7,3420.0,2005-02-03,2,2005,Classic Cars,194,6,France,Medium
26,99.04,4,2575.04,2005-03-03,3,2005,Classic Cars,194,6,Sweden,Small
12,100.0,13,1961.28,2005-05-17,5,2005,Classic Cars,194,6,Austria,Small
41,100.0,15,8690.36,2003-02-11,2,2003,Classic Cars,207,7,Denmark,Large
33,100.0,9,6034.38,2003-04-16,4,2003,Classic Cars,207,7,Singapore,Medium
46,100.0,2,11279.2,2003-06-03,6,2003,Classic Cars,207,7,USA,Large
33,100.0,12,8023.29,2003-08-08,8,2003,Classic Cars,207,7,USA,Large
20,100.0,11,4904.0,2003-09-28,9,2003,Classic Cars,207,7,Spain,Medium
44,100.0,3,8594.52,2003-10-22,10,2003,Classic Cars,207,7,Singapore,Large
33,100.0,2,7474.5,2003-11-06,11,2003,Classic Cars,207,7,Italy,Large
21,100.0,13,3883.74,2003-11-14,11,2003,Classic Cars,207,7,USA,Medium
47,100.0,5,8887.7,2003-11-26,11,2003,Classic Cars,207,7,USA,Large
46,100.0,13,8602.92,2004-01-02,1,2004,Classic Cars,207,7,France,Large
32,100.0,2,7181.44,2004-02-12,2,2004,Classic Cars,207,7,Ireland,Large
42,100.0,2,8378.58,2004-03-19,3,2004,Classic Cars,207,7,Spain,Large
44,100.0,2,10606.2,2004-05-05,5,2004,Classic Cars,207,7,Finland,Large
35,100.0,2,5818.4,2004-07-20,7,2004,Classic Cars,207,7,USA,Medium
41,100.0,5,7071.27,2004-08-20,8,2004,Classic Cars,207,7,USA,Large
46,100.0,8,8411.56,2004-09-09,9,2004,Classic Cars,207,7,Italy,Large
31,100.0,13,6570.76,2004-10-14,10,2004,Classic Cars,207,7,UK,Medium
38,100.0,5,7975.44,2004-10-22,10,2004,Classic Cars,207,7,Denmark,Large
42,64.0,8,2688.0,2004-11-05,11,2004,Classic Cars,207,7,Norway,Small
33,57.22,10,1888.26,2004-11-20,11,2004,Classic Cars,207,7,France,Small
48,52.36,8,2513.28,2004-11-01,11,2004,Classic Cars,207,7,Spain,Small
42,100.0,8,4764.48,2004-12-15,12,2004,Classic Cars,207,7,France,Medium
32,100.0,6,3560.64,2005-01-23,1,2005,Classic Cars,207,7,USA,Medium
34,100.0,10,3823.64,2005-02-17,2,2005,Classic Cars,207,7,USA,Medium
33,69.12,1,2280.96,2005-03-17,3,2005,Classic Cars,207,7,France,Small
36,100.0,2,8677.8,2005-05-05,5,2005,Classic Cars,207,7,USA,Large
27,100.0,8,3394.98,2003-01-29,1,2003,Trucks and Buses,136,8,Norway,Medium
21,100.0,2,3415.44,2003-03-26,3,2003,Trucks and Buses,136,8,USA,Medium
21,100.0,8,2439.57,2003-05-28,5,2003,Trucks and Buses,136,8,Spain,Small
38,100.0,8,4829.8,2003-07-24,7,2003,Trucks and Buses,136,8,USA,Medium
30,100.0,5,4100.1,2003-09-19,9,2003,Trucks and Buses,136,8,Singapore,Medium
49,100.0,6,6563.06,2003-10-21,10,2003,Trucks and Buses,136,8,Austria,Medium
43,100.0,1,6817.22,2003-11-06,11,2003,Trucks and Buses,136,8,Australia,Medium
41,100.0,5,6163.94,2003-11-13,11,2003,Trucks and Buses,136,8,USA,Medium
38,100.0,8,4933.92,2003-11-25,11,2003,Trucks and Buses,136,8,France,Medium
28,100.0,3,4056.36,2003-12-05,12,2003,Trucks and Buses,136,8,Canada,Medium
43,100.0,1,5759.42,2004-02-02,2,2004,Trucks and Buses,136,8,France,Medium
25,100.0,13,3451.0,2004-03-11,3,2004,Trucks and Buses,136,8,USA,Medium
38,100.0,6,5920.4,2004-05-04,5,2004,Trucks and Buses,136,8,USA,Medium
41,100.0,3,6668.24,2004-06-15,6,2004,Trucks and Buses,136,8,Japan,Medium
28,100.0,6,4094.72,2004-07-19,7,2004,Trucks and Buses,136,8,Australia,Medium
25,100.0,13,2938.5,2004-08-19,8,2004,Trucks and Buses,136,8,USA,Small
41,100.0,8,6387.8,2004-09-08,9,2004,Trucks and Buses,136,8,Sweden,Medium
39,100.0,3,6396.0,2004-10-11,10,2004,Trucks and Buses,136,8,France,Medium
21,100.0,11,2669.1,2004-10-22,10,2004,Trucks and Buses,136,8,Canada,Small
27,100.0,9,4784.13,2004-11-04,11,2004,Trucks and Buses,136,8,USA,Medium
33,99.21,6,3273.93,2004-11-18,11,2004,Trucks and Buses,136,8,USA,Medium
29,100.0,3,3586.43,2004-11-29,11,2004,Trucks and Buses,136,8,Australia,Medium
49,100.0,8,5960.36,2004-12-10,12,2004,Trucks and Buses,136,8,USA,Medium
49,100.0,8,8470.14,2005-01-20,1,2005,Trucks and Buses,136,8,Australia,Large
20,100.0,1,2952.0,2005-02-17,2,2005,Trucks and Buses,136,8,USA,Small
39,63.2,9,2464.8,2005-03-09,3,2005,Trucks and Buses,136,8,Australia,Small
40,100.0,6,6232.0,2005-05-01,5,2005,Trucks and Buses,136,8,Canada,Medium
49,100.0,3,7969.36,2005-05-31,5,2005,Trucks and Buses,136,8,Spain,Large
21,100.0,1,3036.6,2003-02-24,2,2003,Motorcycles,150,9,USA,Medium
50,100.0,4,8284.0,2003-05-07,5,2003,Motorcycles,150,9,France,Large
20,100.0,1,2711.2,2003-07-01,7,2003,Motorcycles,150,9,France,Small
49,100.0,5,8339.8,2003-08-25,8,2003,Motorcycles,150,9,USA,Large
38,100.0,13,6238.84,2003-10-10,10,2003,Motorcycles,150,9,USA,Medium
35,100.0,13,4639.25,2003-11-04,11,2003,Motorcycles,150,9,Australia,Medium
40,100.0,8,6747.6,2003-11-11,11,2003,Motorcycles,150,9,France,Medium
28,100.0,1,4512.48,2003-11-18,11,2003,Motorcycles,150,9,USA,Medium
25,100.0,1,4029.0,2003-12-01,12,2003,Motorcycles,150,9,USA,Medium
36,100.0,13,4771.8,2004-01-15,1,2004,Motorcycles,150,9,France,Medium
43,100.0,6,6087.94,2004-02-21,2,2004,Motorcycles,150,9,France,Medium
32,100.0,6,4193.28,2004-04-05,4,2004,Motorcycles,150,9,USA,Medium
46,100.0,1,7552.28,2004-05-18,5,2004,Motorcycles,150,9,USA,Large
48,100.0,1,6434.4,2004-06-28,6,2004,Motorcycles,150,9,USA,Medium
43,100.0,14,5181.5,2004-08-02,8,2004,Motorcycles,150,9,USA,Medium
49,100.0,5,6863.92,2004-08-27,8,2004,Motorcycles,150,9,USA,Medium
24,100.0,8,4157.04,2004-09-30,9,2004,Motorcycles,150,9,Finland,Medium
26,100.0,4,4660.24,2004-10-15,10,2004,Motorcycles,150,9,Norway,Medium
30,100.0,9,4111.8,2004-11-03,11,2004,Motorcycles,150,9,USA,Medium
24,100.0,6,3542.64,2004-11-15,11,2004,Motorcycles,150,9,USA,Medium
55,100.0,8,8118.55,2004-11-24,11,2004,Motorcycles,150,9,Austria,Large
22,100.0,1,3877.06,2005-01-05,1,2005,Motorcycles,150,9,USA,Medium
49,78.92,13,3867.08,2005-02-03,2,2005,Motorcycles,150,9,France,Medium
44,100.0,6,5951.44,2005-03-03,3,2005,Motorcycles,150,9,USA,Medium
66,100.0,6,8648.64,2005-04-08,4,2005,Motorcycles,150,9,UK,Large
21,100.0,1,3447.78,2005-05-13,5,2005,Motorcycles,150,9,Spain,Medium
34,100.0,1,5958.5,2003-01-31,1,2003,Classic Cars,151,10,Spain,Medium
43,100.0,10,5911.64,2003-04-16,4,2003,Classic Cars,151,10,Singapore,Medium
46,100.0,3,7366.44,2003-06-03,6,2003,Classic Cars,151,10,USA,Large
33,100.0,13,4985.64,2003-08-08,8,2003,Classic Cars,151,10,USA,Medium
42,100.0,12,5393.64,2003-09-28,9,2003,Classic Cars,151,10,Spain,Medium
34,100.0,4,4880.02,2003-10-22,10,2003,Classic Cars,151,10,Singapore,Medium
47,100.0,3,8378.69,2003-11-06,11,2003,Classic Cars,151,10,Italy,Large
33,100.0,14,4038.21,2003-11-14,11,2003,Classic Cars,151,10,USA,Medium
24,100.0,6,3807.12,2003-11-26,11,2003,Classic Cars,151,10,USA,Medium
26,100.0,14,3142.36,2004-01-02,1,2004,Classic Cars,151,10,France,Medium
30,100.0,3,4713.6,2004-02-12,2,2004,Classic Cars,151,10,Ireland,Medium
43,100.0,1,7016.31,2004-03-15,3,2004,Classic Cars,151,10,Germany,Large
25,100.0,3,4381.25,2004-05-05,5,2004,Classic Cars,151,10,Finland,Medium
27,100.0,3,4283.01,2004-07-20,7,2004,Classic Cars,151,10,USA,Medium
27,100.0,6,4364.82,2004-08-20,8,2004,Classic Cars,151,10,USA,Medium
24,100.0,9,4242.24,2004-09-09,9,2004,Classic Cars,151,10,Italy,Medium
34,100.0,14,4982.7,2004-10-14,10,2004,Classic Cars,151,10,UK,Medium
46,100.0,6,6393.54,2004-10-22,10,2004,Classic Cars,151,10,Denmark,Medium
27,54.33,1,1466.91,2004-11-05,11,2004,Classic Cars,151,10,USA,Small
33,100.0,11,4059.33,2004-11-20,11,2004,Classic Cars,151,10,France,Medium
47,100.0,4,4801.52,2004-11-01,11,2004,Classic Cars,151,10,Spain,Medium
49,55.34,5,2711.66,2004-12-10,12,2004,Classic Cars,151,10,Spain,Small
40,100.0,4,5862.0,2005-01-26,1,2005,Classic Cars,151,10,Japan,Medium
37,100.0,11,4071.85,2005-02-17,2,2005,Classic Cars,151,10,USA,Medium
47,100.0,3,8236.75,2005-05-05,5,2005,Classic Cars,151,10,USA,Large
45,100.0,4,6130.35,2003-03-03,3,2003,Classic Cars,117,11,Philippines,Medium
37,99.82,8,3693.34,2003-05-08,5,2003,Classic Cars,117,11,France,Medium
48,100.0,5,6031.68,2003-07-02,7,2003,Classic Cars,117,11,USA,Medium
31,100.0,5,3494.94,2003-09-05,9,2003,Classic Cars,117,11,USA,Medium
46,100.0,6,5294.14,2003-10-11,10,2003,Classic Cars,117,11,USA,Medium
47,100.0,4,5464.69,2003-11-04,11,2003,Classic Cars,117,11,Austria,Medium
28,100.0,12,2860.76,2003-11-12,11,2003,Classic Cars,117,11,Norway,Small
40,100.0,1,5590.0,2003-11-20,11,2003,Classic Cars,117,11,Germany,Medium
20,100.0,6,2254.8,2003-12-02,12,2003,Classic Cars,117,11,Spain,Small
39,100.0,16,4946.76,2004-01-16,1,2004,Classic Cars,117,11,Spain,Medium
25,99.82,7,2495.5,2004-02-22,2,2004,Classic Cars,117,11,Switzerland,Small
29,100.0,1,3167.38,2004-04-09,4,2004,Classic Cars,117,11,Denmark,Medium
22,100.0,11,2402.84,2004-06-01,6,2004,Classic Cars,117,11,UK,Small
22,100.0,12,2454.54,2004-07-06,7,2004,Classic Cars,117,11,Italy,Small
47,100.0,1,5464.69,2004-08-02,8,2004,Classic Cars,117,11,USA,Medium
45,100.0,10,4756.5,2004-08-30,8,2004,Classic Cars,117,11,Switzerland,Medium
29,100.0,3,3984.6,2003-10-04,10,2003,Classic Cars,117,11,Germany,Medium
24,100.0,8,3100.32,2004-10-16,10,2004,Classic Cars,117,11,Germany,Medium
35,100.0,1,4850.3,2004-11-03,11,2004,Classic Cars,117,11,Sweden,Medium
46,83.63,13,3846.98,2004-11-15,11,2004,Classic Cars,117,11,USA,Medium
44,95.93,1,4220.92,2004-11-24,11,2004,Classic Cars,117,11,Austria,Medium
34,96.73,4,3288.82,2005-01-06,1,2005,Classic Cars,117,11,Finland,Medium
35,100.0,1,3987.2,2005-02-08,2,2005,Classic Cars,117,11,USA,Medium
25,72.38,6,1809.5,2005-03-03,3,2005,Classic Cars,117,11,Sweden,Small
10,100.0,11,1092.2,2005-05-17,5,2005,Classic Cars,117,11,Austria,Small
29,100.0,14,4566.05,2003-02-11,2,2003,Classic Cars,173,12,Denmark,Medium
39,100.0,8,5938.14,2003-04-16,4,2003,Classic Cars,173,12,Singapore,Medium
42,100.0,1,8138.76,2003-06-03,6,2003,Classic Cars,173,12,USA,Large
